params,DD_Ta051.txt,DD_Ta052.txt,DD_Ta053.txt,DD_Ta054.txt,DD_Ta055.txt,DD_Ta056.txt,DD_Ta057.txt,DD_Ta058.txt,DD_Ta059.txt,DD_Ta060.txt,DD_Ta081.txt,DD_Ta082.txt,DD_Ta083.txt,DD_Ta084.txt,DD_Ta085.txt,DD_Ta086.txt,DD_Ta087.txt,DD_Ta088.txt,DD_Ta089.txt,DD_Ta090.txt
T_1_d_2_weighted_temperature_False,28305,45271,34983,37771,27536,25256,41347,34064,36955,59247,321182,230189,405888,384952,411079,240621,296927,306188,437965,440059
T_1_d_3_weighted_temperature_False,27831,36277,33879,38882,37033,35929,34940,42129,35929,60779,359128,276920,352253,442132,342367,303692,313384,270589,464042,378982
T_1_d_4_weighted_temperature_False,40270,42522,37722,52862,43529,29256,39348,48614,31962,59394,366805,323342,455068,444777,450327,447969,345288,326943,468413,349520
T_1_d_2_weighted_temperature_True,36370,54548,50607,51034,37088,37029,37118,46147,46398,57950,310429,274055,368010,476186,439842,338173,300206,365078,418649,486411
T_1_d_3_weighted_temperature_True,36715,48715,39282,32098,37298,33355,48547,41647,46948,71554,331617,338317,497175,338550,522630,408664,303965,326691,565469,421910
T_1_d_4_weighted_temperature_True,27629,47134,54895,48640,37302,40628,42021,40188,39761,54501,399790,299788,341968,520544,434680,424119,361836,267653,478016,351368
