params,DD_Ta051.txt,DD_Ta052.txt,DD_Ta053.txt,DD_Ta054.txt,DD_Ta055.txt,DD_Ta056.txt,DD_Ta057.txt,DD_Ta058.txt,DD_Ta059.txt,DD_Ta060.txt,DD_Ta081.txt,DD_Ta082.txt,DD_Ta083.txt,DD_Ta084.txt,DD_Ta085.txt,DD_Ta086.txt,DD_Ta087.txt,DD_Ta088.txt,DD_Ta089.txt,DD_Ta090.txt
n_ants_3_number_top_1_trail_persistence_0.75,45634.0,47185.0,59848.0,53690.0,37317.0,43023.0,37118.0,46788.0,49154.0,84800.0,549124.0,431968.0,552112.0,653370.0,566521.0,600992.0,493053.0,489618.0,675281.0,543186.0
n_ants_3_number_top_2_trail_persistence_0.5,45634.0,47185.0,59848.0,53690.0,37317.0,43023.0,37118.0,46788.0,49154.0,84800.0,549124.0,431968.0,552112.0,653370.0,566521.0,600992.0,493053.0,489618.0,675281.0,543186.0
n_ants_3_number_top_3_trail_persistence_0.25,45634.0,47185.0,59848.0,53690.0,37317.0,43023.0,37118.0,46788.0,49154.0,84800.0,549124.0,431968.0,552112.0,653370.0,566521.0,600992.0,493053.0,489618.0,675281.0,543186.0
n_ants_10_number_top_2_trail_persistence_0.75,45634.0,47185.0,59848.0,53690.0,37317.0,43023.0,37118.0,46788.0,49154.0,84800.0,549124.0,431968.0,552112.0,653370.0,566521.0,600992.0,493053.0,489618.0,675281.0,543186.0
n_ants_10_number_top_4_trail_persistence_0.5,45634.0,47185.0,59848.0,53690.0,37317.0,43023.0,37118.0,46788.0,49154.0,84800.0,549124.0,431968.0,552112.0,653370.0,566521.0,600992.0,493053.0,489618.0,675281.0,543186.0
n_ants_10_number_top_6_trail_persistence_0.25,45634.0,47185.0,59848.0,53690.0,37317.0,43023.0,37118.0,46788.0,49154.0,84800.0,549124.0,431968.0,552112.0,653370.0,566521.0,600992.0,493053.0,489618.0,675281.0,543186.0
