params,DD_Ta051.txt,DD_Ta052.txt,DD_Ta053.txt,DD_Ta054.txt,DD_Ta055.txt,DD_Ta056.txt,DD_Ta057.txt,DD_Ta058.txt,DD_Ta059.txt,DD_Ta060.txt,DD_Ta081.txt,DD_Ta082.txt,DD_Ta083.txt,DD_Ta084.txt,DD_Ta085.txt,DD_Ta086.txt,DD_Ta087.txt,DD_Ta088.txt,DD_Ta089.txt,DD_Ta090.txt
n_ants_3_number_top_1_trail_persistence_0.75_use_local_search_True,25030.0,36241.0,31148.0,40186.0,29773.0,23285.0,25391.0,27506.0,32042.0,54989.0,294910.0,225286.0,315015.0,401202.0,352343.0,245959.0,248318.0,218327.0,338307.0,353355.0
n_ants_3_number_top_2_trail_persistence_0.5_use_local_search_True,33868.0,32231.0,44793.0,42092.0,31667.0,25883.0,25006.0,23777.0,35649.0,63553.0,311750.0,222239.0,256279.0,355106.0,352257.0,308772.0,256818.0,327875.0,462878.0,302409.0
n_ants_3_number_top_3_trail_persistence_0.25_use_local_search_True,29331.0,38860.0,28620.0,32409.0,25451.0,19950.0,32841.0,39883.0,25572.0,53571.0,207296.0,312533.0,345557.0,532043.0,438941.0,373491.0,282572.0,354362.0,464527.0,278136.0
n_ants_10_number_top_2_trail_persistence_0.75_use_local_search_True,24275.0,39021.0,35525.0,40732.0,23026.0,21716.0,25754.0,26382.0,32795.0,50641.0,286590.0,258206.0,296782.0,367986.0,326066.0,294639.0,301746.0,230444.0,346562.0,269455.0
n_ants_10_number_top_4_trail_persistence_0.5_use_local_search_True,32094.0,29945.0,31090.0,31315.0,34591.0,22376.0,22455.0,23891.0,35556.0,50770.0,322377.0,256135.0,295810.0,482171.0,288392.0,257715.0,273570.0,239217.0,407879.0,291424.0
n_ants_10_number_top_6_trail_persistence_0.25_use_local_search_True,25219.0,32068.0,31903.0,32322.0,20922.0,16907.0,29447.0,30764.0,31485.0,57575.0,235906.0,196983.0,358188.0,333738.0,382467.0,316258.0,293898.0,256648.0,401191.0,314806.0
